epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,347.311,0.9528,0.87498,1,0.28022,0.000276893,0.000276893,0.000276893
2,666.175,0.35115,0.9145,1,0.19324,0.000517959,0.000517959,0.000517959
3,964.425,0.27443,0.93923,1,0.14286,0.000722373,0.000722373,0.000722373
4,1294.04,0.24764,0.94393,1,0.13248,0.000668066,0.000668066,0.000668066
5,1582.82,0.2282,0.93157,1,0.15924,0.000613088,0.000613088,0.000613088
6,1870.59,0.21347,0.96204,1,0.09635,0.00055811,0.00055811,0.00055811
7,2162.82,0.18418,0.96221,1,0.09562,0.000503132,0.000503132,0.000503132
8,2447.6,0.17276,0.97719,1,0.06639,0.000448154,0.000448154,0.000448154
9,2739.32,0.14586,0.97406,1,0.06456,0.000393176,0.000393176,0.000393176
10,3047.66,0.15282,0.9758,1,0.06325,0.000338198,0.000338198,0.000338198
11,3424,0.1288,0.98241,1,0.04897,0.00028322,0.00028322,0.00028322
12,3726.24,0.12277,0.98346,1,0.0442,0.000228242,0.000228242,0.000228242
13,4020.21,0.10987,0.98694,1,0.03961,0.000173264,0.000173264,0.000173264
14,4305.56,0.10656,0.98764,1,0.03653,0.000118286,0.000118286,0.000118286
15,4613.34,0.10703,0.99095,1,0.03184,6.3308e-05,6.3308e-05,6.3308e-05
